"userId","platformType","total_purchases","total_spent","Cluster"
2229,"iphone",15,223.01000213623047,"cluster_0"
487,"iphone",0,0,"cluster_1"
2116,"android",0,0,"cluster_1"
1335,"windows",0,0,"cluster_1"
1560,"android",0,0,"cluster_1"
1471,"iphone",8,96,"cluster_0"
908,"mac",0,0,"cluster_1"
738,"iphone",0,0,"cluster_1"
32,"android",0,0,"cluster_1"
275,"android",0,0,"cluster_1"
540,"android",0,0,"cluster_1"
281,"android",5,34,"cluster_1"
2323,"android",0,0,"cluster_1"
1472,"mac",1,10,"cluster_1"
1454,"iphone",0,0,"cluster_1"
1613,"iphone",0,0,"cluster_1"
1991,"iphone",2,40,"cluster_1"
1805,"android",0,0,"cluster_1"
872,"iphone",0,0,"cluster_1"
1721,"windows",6,8.009999752044678,"cluster_1"
1018,"windows",0,0,"cluster_1"
767,"android",4,29,"cluster_1"
2212,"android",6,27,"cluster_1"
1868,"iphone",0,0,"cluster_1"
1079,"android",0,0,"cluster_1"
1543,"windows",0,0,"cluster_1"
982,"iphone",0,0,"cluster_1"
2306,"android",10,50.989999771118164,"cluster_0"
2142,"android",6,22,"cluster_1"
286,"iphone",6,60.01000213623047,"cluster_0"
491,"iphone",0,0,"cluster_1"
1875,"android",0,0,"cluster_1"
114,"iphone",0,0,"cluster_1"
1349,"iphone",0,0,"cluster_1"
2030,"windows",6,9,"cluster_1"
1624,"android",4,19,"cluster_1"
546,"windows",0,0,"cluster_1"
876,"android",0,0,"cluster_1"
1501,"android",0,0,"cluster_1"
841,"iphone",0,0,"cluster_1"
880,"android",0,0,"cluster_1"
1609,"windows",8,19,"cluster_1"
1944,"android",0,0,"cluster_1"
2305,"iphone",0,0,"cluster_1"
2357,"iphone",0,0,"cluster_1"
732,"iphone",0,0,"cluster_1"
1145,"windows",10,33,"cluster_1"
321,"windows",0,0,"cluster_1"
1215,"android",0,0,"cluster_1"
723,"iphone",0,0,"cluster_1"
1097,"iphone",6,78,"cluster_0"
2000,"android",1,3,"cluster_1"
868,"iphone",9,150,"cluster_0"
1085,"windows",5,6,"cluster_1"
1821,"windows",6,7,"cluster_1"
1890,"android",0,0,"cluster_1"
930,"windows",0,0,"cluster_1"
1760,"mac",0,0,"cluster_1"
542,"iphone",1,20,"cluster_1"
